,dataset,group,feat_selection,metric,value,time,model_path,fold_key,model_type,n_obs,model
0,pbmc,val,random,roc_auc,0.54112468107736,547.116369,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_1.pt,fold_0,pwms,2000,mubind_graph
1,pbmc,val,random,pr_auc,0.07054116403425638,547.116369,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_1.pt,fold_0,pwms,2000,mubind_graph
2,pbmc,val,random,r2,0.32488203048706055,547.116369,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_1.pt,fold_0,pwms,2000,mubind_graph
3,pbmc,val,random,roc_auc_multi,0.499714699224888,547.116369,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_1.pt,fold_0,pwms,2000,mubind_graph
4,pbmc,val,random,pr_auc_multi,0.08330817961858987,547.116369,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_1.pt,fold_0,pwms,2000,mubind_graph
5,pbmc,test,random,roc_auc,0.5196804018294736,547.116369,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_1.pt,fold_0,pwms,2000,mubind_graph
6,pbmc,test,random,pr_auc,0.08263796013999924,547.116369,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_1.pt,fold_0,pwms,2000,mubind_graph
7,pbmc,test,random,r2,0.22992128133773804,547.116369,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_1.pt,fold_0,pwms,2000,mubind_graph
8,pbmc,test,random,roc_auc_multi,0.5013424860641591,547.116369,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_1.pt,fold_0,pwms,2000,mubind_graph
9,pbmc,test,random,pr_auc_multi,0.1110921298737536,547.116369,/home/ilibarra/workspace/theislab/mubind/data/pbmc/random/mubind_output/obs2000/pwms/fold_0/model_1.pt,fold_0,pwms,2000,mubind_graph
